Cu,Fe,"1,2-NQN","1,4-NQN",PQN,•OH,PM2.5,SOA_mass,SOA_activity
67.2915,236.1421,0.0,0.0,0.0,0.487702,621.2,0.154,0.305
0.0,0.0,0.0,376.1989,0.0,0.100625,429.34,0.261,0.17
65.9859,247.145,0.0,0.0,0.0,0.486817,793.29,0.183,0.296
3851.4692,0.0,0.0,0.0,0.0,0.337715,4260.92,0.499,0.205
0.0,150.6785,20.5307,0.0,0.0,0.511108,309.08,0.473,0.337
0.0,0.0,0.0,411.7761,0.0,0.114361,470.84,0.162,0.366
0.0,0.0,0.0,0.0,353.3021,0.27961,645.08,0.371,0.305
1010.611,1044.9537,0.0,0.0,0.0,1.688053,2144.18,0.288,0.283
0.0,3394.5019,0.0,0.0,0.0,2.009142,3734.26,0.312,0.113
0.0,507.9745,19.0832,0.0,0.0,0.718024,787.79,0.163,0.133
2083.4043,1993.574,0.0,0.0,0.0,2.452179,4366.45,0.141,0.112
9395.0378,0.0,0.0,0.0,0.0,0.367239,9450.15,0.287,0.117
0.0,0.0,220.2207,0.0,0.0,0.499222,323.55,0.216,0.219
90.6293,80.2697,0.0,0.0,0.0,0.386364,618.81,0.254,0.373
489.8538,486.7031,20.6602,0.0,0.0,1.453494,1216.86,0.475,0.203
0.0,0.0,0.0,70.6118,0.0,0.019634,314.7,0.252,0.375
0.0,0.0,0.0,366.5001,0.0,0.1022,496.19,0.139,0.387
0.0,8543.8509,0.0,0.0,0.0,3.644072,8750.16,0.46,0.107
444.8762,422.9288,2.903,3.4995,0.2015,1.14145,962.06,0.473,0.201
0.0,153.0725,19.3108,0.0,0.0,0.513282,303.98,0.462,0.359
2588.3928,0.0,0.0,0.0,0.0,0.317533,2916.59,0.14,0.125
5908.6599,0.0,0.0,0.0,0.0,0.354137,6187.02,0.103,0.186
0.0,0.0,0.0,187.2741,0.0,0.049931,425.01,0.164,0.151
523.1146,507.6801,0.0,0.0,0.0,0.937113,1316.9,0.27,0.213
0.0,0.0,0.0,0.0,272.848,0.254813,340.82,0.245,0.348
0.0,502.3046,0.0,512.3822,0.0,1.259414,1223.98,0.234,0.254
0.0,487.2068,19.3971,0.0,0.0,0.718276,754.52,0.161,0.135
0.0,0.0,0.0,0.0,345.6233,0.272746,637.89,0.465,0.216
7700.1195,0.0,0.0,0.0,0.0,0.359512,7885.55,0.383,0.12
0.0,0.0,0.0,0.0,476.8163,0.293423,686.48,0.26,0.117
0.0,0.0,0.0,442.4276,0.0,0.120235,861.46,0.117,0.249
180.1575,76.4642,0.0,0.0,0.0,0.429174,741.71,0.296,0.242
0.0,0.0,38.8247,0.0,0.0,0.265069,323.48,0.127,0.211
0.0,522.7828,0.0,488.1224,0.0,1.255866,1194.85,0.229,0.239
374.252,0.0,0.0,0.0,0.0,0.247848,541.16,0.354,0.262
0.0,0.0,444.3295,0.0,0.0,0.49967,807.72,0.381,0.152
1003.2331,979.229,0.0,0.0,0.0,1.698861,2046.14,0.26,0.316
0.0,4323.348,0.0,0.0,0.0,2.51577,4673.75,0.138,0.287
6229.2064,0.0,0.0,0.0,0.0,0.36974,6299.79,0.449,0.392
0.0,0.0,0.0,0.0,44.8798,0.06765,417.99,0.249,0.128
3390.8267,0.0,0.0,0.0,0.0,0.341873,3449.7,0.142,0.34
3568.0479,0.0,0.0,0.0,0.0,0.340242,4018.67,0.282,0.286
0.0,6894.6497,0.0,0.0,0.0,3.480078,7323.04,0.115,0.371
0.0,0.0,478.724,0.0,0.0,0.512335,926.07,0.181,0.276
243.4842,297.5391,0.0,0.0,0.0,0.69274,724.3,0.149,0.174
245.9592,104.3552,0.0,0.0,0.0,0.528289,733.9,0.18,0.396
0.0,51.7819,19.62,0.0,0.0,0.405706,496.19,0.193,0.206
